Topic 	tweet_id	claim
abortion	788987631371628545	1
abortion	789188068792082432	1
abortion	779677924882518016	1
abortion	765975926437998592	0
abortion	788905989273587712	0
abortion	770374564333387777	0
abortion	785305309296201728	0
abortion	788921998927859714	1
abortion	788912503036252160	1
abortion	779456654366605312	1
abortion	789223900735385600	0
abortion	788956576770035712	1
abortion	788912184231354369	1
abortion	788923299141001216	1
abortion	791349955688534016	1
abortion	790396976261201920	0
abortion	786321941476945920	0
abortion	789277902411927552	1
abortion	781179401811755008	1
abortion	793088993827155969	0
abortion	766348380624654336	0
abortion	788421895267975169	0
abortion	756911846725193728	0
abortion	758829943891517440	1
abortion	770063657376120832	0
abortion	767773756110544896	0
abortion	780407041705676802	0
abortion	781925857921228800	0
abortion	782000361330671617	1
abortion	786980480759500800	1
abortion	789083022448533509	1
abortion	788785684051927040	1
abortion	789091448821993472	0
abortion	789320176776785920	1
abortion	788300503717449732	1
abortion	792962212579061760	0
abortion	793353784416100352	0
abortion	756182046221959168	0
abortion	756874412574597120	0
abortion	758807374333214720	0
abortion	765558022747918336	0
abortion	770984244151746560	0
abortion	772925711984291840	0
abortion	769887848900157440	1
abortion	769583703156748288	1
abortion	768977760450547712	1
abortion	788914226882412545	0
abortion	785505029486743552	0
abortion	785865810908745729	0
abortion	785987156334436352	1
abortion	793827149375377408	0
abortion	794911930595115008	1
abortion	768080552662536192	0
abortion	785353652852711424	1
abortion	788912901486616576	0
abortion	789921488967200768	0
abortion	780152153864343552	1
abortion	791309409343397888	1
abortion	794596460205637632	0
abortion	791034422396985345	1
abortion	771505503864180738	0
abortion	784970335418322946	1
abortion	788069443720970240	1
abortion	788819745999036416	1
abortion	788912448510255104	1
abortion	790389069985361920	0
abortion	791700859541393408	0
abortion	755358721149050880	0
abortion	757244480223260672	0
abortion	770161388845142016	0
abortion	769586584651833344	1
abortion	772499470055567364	0
abortion	766965077547233284	0
abortion	788913903900164096	0
abortion	788929770968846338	1
abortion	788913744516612096	1
abortion	790838523230380032	0
abortion	788931482224103424	0
abortion	794201344181555200	1
abortion	788932384024514561	1
abortion	789669147059761152	0
abortion	789509222438277120	1
abortion	788913107007516672	0
abortion	788912922454007809	0
abortion	771153010374348801	0
abortion	779357001889480704	0
abortion	789265977993142272	1
abortion	795341054048423936	0
abortion	772614222022897664	0
abortion	791370067380494336	0
abortion	758637177899147266	0
abortion	756685593392910338	1
abortion	756968222373523456	0
abortion	756963419920617472	0
abortion	756933178984652801	0
abortion	765869739243630592	0
abortion	766289685526097920	1
abortion	771412075767853056	0
abortion	771666426729902081	0
abortion	756519394117771264	0
animal testing	779716776695300096	0
animal testing	787717864572739585	0
animal testing	794197821004140544	0
animal testing	756112534034198528	0
animal testing	793141514889207814	0
animal testing	756080426616131584	0
animal testing	780661141018140673	1
animal testing	779929427903909888	0
animal testing	766207342954307585	0
animal testing	767007171548631040	0
animal testing	779360546097340417	0
animal testing	770029939345285120	0
animal testing	767772703344455680	0
animal testing	793884368053895168	0
animal testing	759606414428037121	0
animal testing	757339061765955584	0
animal testing	779817687455191042	0
animal testing	793348600247951360	0
animal testing	781075924141891584	1
animal testing	781608026117697536	0
animal testing	786767296878505988	0
animal testing	770082670130978820	1
animal testing	787332043147448321	0
animal testing	773362997532233728	0
animal testing	759811268433874944	0
animal testing	781314584225288192	1
animal testing	781529756223188992	0
animal testing	756754803624124416	0
animal testing	770217378604945408	1
animal testing	759590824220897280	0
animal testing	778044625160404992	0
animal testing	790357923104907264	1
animal testing	782360362637201408	0
animal testing	781652057925292032	0
animal testing	790185700763181057	1
animal testing	756604102272888832	0
animal testing	755097470531727360	0
animal testing	768998685824999424	0
animal testing	771786186721492992	0
animal testing	772254539483344896	0
